,title,body
29,"
				JDC면세점 운영위원회 위촉위원 모집공고
			","


<JDC면세점 운영위원회 위촉위원 공개모집>
 
제주국제자유도시개발센터(이하 'JDC')에서는 지정면세점 운영위원회 운영에
관한 지침 제3조에 따라 'JDC지정면세점 운영위원회' 구성을 위한
위촉직 위원을 아래와 같이 공개모집하오니 관심 있는 분들의 많은 참여를 바랍니다.
 


•  접수기간

2019년 9월 11일(수) ~ 19일(목)

• 신청자격

- 면세점 등 유통분야에 관한 전문지식 및 경험이 풍부한 자
- 제주국제자유도시 조성을 위한 재원으로서 면세점의 운영 방향을 제시할 수 있는
전문지식과 경험이 풍부한 자

• 위원회 기능 (임기 : 위촉일로부터 1년)

- 협력업체 및 브랜드 대상 JDC지정면세점 입점 및 퇴출 심의
- 기타 면세점 운영에 관한 사항 중 주요 정책 결정

※ 기타 자세한 내용은 첨부파일을 확인해 주시기 바랍니다.
"
30,"
				2019 글로벌 인재육성 디즈니월드 인턴십 연수생 모집 안내
			","


 2019년 글로벌 인재육성 디즈니월드 인턴십 (미국 올랜도) 연수생 모집을 붙임과 같이 공고하오니 많은 관심과 신청바랍니다.


  1. 연수기간 : 2019. 11월 ~ 2020. 7월

  2. 연수내용 : 국내 직무, 어학연수(40시간) + 델라웨어주립대학 교과목 수강(3주) + 디즈니월드 유급 인턴십(22주)

  3. 연수국가 : 미국(올랜도_디즈니월드)

  4. 선발인원 : 도내 대학생 5명

  5. 접수기간 : ~ 19. 9. 6.(금) 까지

  6. 접수방법 : 참가신청서 및 구비서류 각 대학*에 제출

  * 제주대 현장실습지원센터(진로취업과 내), 한라대 글로벌산학협력센터, 관광대 산학협력단, 국제대 취업지원처

  7. 학생부담금 : 200만원 ※ 최종 선발시 학생부담금

  8. 문의처 : JDC 국제협력처 064-797-5581

 
		"
31,"
				JDC  서포터즈 온라인 소통크루 100人 모집
			","


"
32,"
				JDC 비축토지 매입 공고
			","




제주국제자유도시개발센터(JDC) 비축토지 매입 공고



 
제주국제자유도시개발센터(JDC)에서는 제주국제자유도시 조성과 미래사업 추진을 위하여 비축토지를 매입합니다.

□ 매입대상 : 제주도 내 해당지역 최소면적 이상의 토지
 



구 분
최소면적(㎡)
대상필지


도시지역 안
3,300
개인 또는 법인 소유의 1필지 또는 연접필지


도시지역 밖
33,000
개인 또는 법인 소유의 1필지 또는 연접필지




□ 공고 및 접수
 1. 공고기간 : 2019년 9월 2일(월) ~ 2019년 10월 11일(금) / 40일간
 2. 접수기간 : 공고기간 중 평일 09:00 ~ 17:00(토/일요일, 공휴일 접수불가)

□ 신정자격 및 접수방법
 1. 신청자격 : 토지소유자(개인 및 법인)
 2. 접수방법 : 직접 방문 접수
  가. 회사주소 : 제주특별자치도 제주시 첨단로 213-4, 제주첨단과학기술단지 JDC 엘리트빌딩 3층 305호 전략사업처
  나. 마감시한 : 마감일(2019년 10월 11일) 17:00 전까지 도착분에 한함
  다. 문의전화 : 064-797-5538, 064-797-5769, 064-797-5519

※  자세한 사항은 아래 공고문 참조


2019. 9. 2.
 
제주국제자유도시개발센터 이사장

 
		"
33,"
				[JDC 드론 시범사업 사업자 공모] 공고
			","

[JDC 드론 시범사업 사업자 공모]
제주국제자유도시개발센터는 제주 공역을 활용한 드론 기술을 검증하고 사업 모델을 발굴하고자 ‘JDC 드론시범사업 사업자 공모’를 추진하오니 많은 관심과 참여 바랍니다.
2019년 8월 22일
제주국제자유도시개발센터 이사장
 
1) 사업설명
• 사 업 명 : JDC 드론 시범사업 사업자 공모
• 사업내용 : 제주 공역을 활용한 드론 기술 검증 및 사업모델 발굴
• 사업기간 : 협약체결일로부터 120일
• 실증지역 : 제주도 공역(비행금지구역 제외), 시범사업 공역(항공우주박물관 인근)
• 공모분야 : 분야별 택1   ※ 자세한 사항은 공모안내서 참고
 ▶사업연계분야 : JDC 기존사업과 연계하여 활용가능하거나 신규사업으로 추진 가능한 분야
 ▶공공서비스분야 : 제주도민이 직접적으로 체감할 수 있는 공공서비스 분야
• 수행방법 : 제주 공역을 활용한 사업별 실증시나리오 설정, 이에 따른 적정테스트와 성과지표 도출을 통한 기술 실증 및 사업모델 발굴
• 선정방법 : 공모를 통한 대상자 선정(평가 후 협약체결)
• 사업예산 : 총 금90,000,000원(부가세 포함)_2개업체 선정(각 사업비 45백만원 내 조정)
• 평가방법 : 정량평가(20점), 정성평가(80점)_제안설명(발표)평가 포함
 
2) 접수설명
• 참여자격 : 드론 신기술 분야 전문인력을 보유하고 경험을 갖춘 전문기관
• 접수기간 : 2019.09.02.(월) ~ 2019.09.20.(금)  17:00 / 19일간
• 접수방법 : 방문 및 우편접수
• 유의사항 : 공모안내서 참고 후, 공모신청서 양식에 맞게 작성
• 기타문의 : 064.797.5538(5769)
 

 
		"
34,"
				『제2기 JDC소통위원회』소통위원 공개모집 공고
			","

 
 
제주국제자유도시개발센터(JDC)에서는 국민(도민) 의견수렴의 실질적·대표적 창구로서의 기능과 역할을 수행 할
『제2기 JDC소통위원』을 위촉하고자 아래와 같이 공개모집 하오니, 관심 있는 분들의 많은 참여를 바랍니다.
 

1. 모집개요
❍ (모집인원) 00명
❍ (임 기) 위촉일로부터 1년
❍ (위원회 기능) 심의 및 자문
- 국민(도민) 의견수렴의 실질적이고 대표적인 소통 창구
- 기관 현안과 주요정책에 관한 제안 및 자문
- 그 밖에 소통경영 구현에 필요하다고 인정되는 사항
 
2. 신청자격
- JDC 기관 및 정책에 관심 있는 사람
- 분야별 풍부한 경험과 식견을 갖춘 사람
 
3. 신청 및 접수
❍ (접수기간) `19. 08. 21.(수) ~ `19. 09. 04_(15일간)
❍ (접수방법) 홈페이지 공지사항에 첨부된 신청서 양식을 다운로드하여 작성 후 담당자 이메일로 접수
❍ (제 출 처) 담당자 이메일로 접수(`19. 09. 04.(수)까지 도착분에 한함)
※ Email 접수 : hanisun@jdcenter.com
❍ (제출서류) 지원 신청서 1부, 개인정보 수집․이용 동의서 1부
※ 제주국제자유도시개발센터 홈페이지(http://www.jdcenter.com) 공지사항 참고
 
4. 선정 및 발표 : 자체 심사에 의거 선정 및 개별통보
 
5. 문 의 처 : JDC 소통협력TFT (☎ 064-797-5732, 5587)
 
6. 기타사항
- 접수된 지원서는 일체 반환하지 않음
 
 
 
 
 
 
 
 
 
 
"
35,"
				함께 JDC작은바람 사업 공모
			","


			함께 JDC작은바람 사업 공모
 
제주국제자유도시개발센터는 지역 주민의 자발적인 참여를 바탕으로 주민들의 생활・문화를 공동으로 형성하고 삶의 질 향상을 위한 공동체 활동을 지원하고자「함께 JDC작은바람 사업」을 공모하오니 많은 관심과 참여 바랍니다.
2019년 8월 8일
제주국제자유도시개발센터 이사장
 
1. 공모 개요
ㅇ 공고기간 : 2019. 8. 8(목) ~ 8. 26(월) / 19일간
ㅇ 사업기간 : 협약일로부터 ~ 2020. 1월말까지
ㅇ 신청자격 : 읍·면·동 마을(행정리 단위) 및 마을공동체를 지향하는 5인 이상의 공동체 및 단체
※ 고유번호증이 발급된 단체만 가능, 고유번호증 발급관련[붙임]참조
ㅇ 지원규모 : 1개 마을 및 단체당 1개 사업 지원, 사업별 700만원 이내(총사업비의 10%이상 자부담필수), 10개 공동체(마을) 선정
ㅇ 지원제외 대상 : 보조금 중복사업, 자산 형성성 사업 및 노무비성 예산
ㅇ 지원 분야 : 마을미디어, 체험‧축제‧전시‧공연‧교육 등 소규모 실천 활동
 
		"
36,"
				JDC제주혁신성장센터 8월 공개특강
			","

JDC제주혁신성장센터 8월 공개특강
 
 
나만 알고 싶은 “투자자를 사로잡는 피칭노하우”
 
8월 공개특강은
Startup Pitching & Business Model
이란 주제로 열립니다.
 
중기부 인증 액셀러레이터 #와이앤아처 신지오 대표이사께서
투자자를 대상으로 한 IR 필수사항 및 피칭 노하우를 통해
투자자를 사로잡는 핵심포인트를 전수해주실 예정입니다.
 
스타트업, 예비창업자 등 관심 있는 분들이라면 누구나 참석 가능합니다.
사전접수 필수이므로, 참석을 원하시는 분은
아래 신청 링크를 클릭 후 작성해 주세요.
☞ 신청 https://c11.kr/8ywz
 
· 일시: 2019.8.13.화 14시~16시
· 장소: 첨단로330 세미양빌딩 제주혁신성장센터 2층 프로젝트인피니티
 
많은 관심과 참석 바랍니다.





 
		"
37,"
				2019년도 공공기관 청렴도 측정 관련 개인정보 제3자 제공사항 알림
			","

□ 제주국제자유도시개발센터는 다음과 같이 개인정보를 제3자에게 제공하고 있습니다.
 
    ○ 제공일자 : 2019. 7. 18

    ○ 제공받는 기관 : 국민권익위원회
 
    ○ 제공의 법적 근거 : 「개인정보보호법」제18조제2항제2호, 「부패방지 및 국민권익위원회의 설치와 운영에 관한 법률」 제12조제6호, 제27조의2
 
    ○ 제공받는 기관의 개인정보 이용 목적 : 공공기관의 청렴도 측정을 위한 민원인, 직원에 대한 설문조사 실시
 
    ○ 제공하는 개인정보 항목 : 계약 및 관리업무 민원인, 입점업체관리 업무 민원인, 소속직원의 성명, 전화번호, 이메일
 
    ○ 개인정보 보유기간 : 2019년도 청렴도 조사 완료 시까지
 
		"
38,"
				신화역사공원 J지구 공원조성사업 조경(특화공간) 설계 공모 심사결과 알림
			","


			신화역사공원 J지구 공원조성사업 조경(특화공간) 설계 공모 심사결과를 다음과 같이 알려드립니다.
  - 심사일 : 2019.7.16. (화)
  
"
39,"
				2019 지역사회와 함께 성장하는 JDC 대국민 아이디어 공모전 1차 서면평가 선정결과
			","


			2019 지역사회와 함께 성장하는 JDC  대국민 아이디어 공모전 1차 서면평가 선정결과 발표

제주국제자유도시개발센터(JDC) 추진사업 중 기관의 역할과 특성을 고려하고 지역사회와 함께 성장하는 사회적가치를 반영한 창의적인 혁신아이디어를 발굴하기 위해 실시한 대국민 아이디어 공모전 1차 서면평가 결과를 아래와 같이 알려드립니다.
 



번호
선정작(아이디어 명칭)
성함


1
낭썹, 사람과 자연을 잇다.
송ㅇ조


2
제주 빌레나무로 미세먼지도 job go, 노인일자리도 job go
김ㅇ관


3
사회적경제 기업 협업을 통한 대학생 참여 상품경쟁력 강화 프로젝트
최ㅇ운


4
다문화가정 대학생 면세점 연계 인턴성장지원 프로그램
윤ㅇ호


5
일회용컵이 없는 행사문화 만들기
장ㅇ화


6
복도 피난유도등 남은거리 표시
남ㅇ우




1차 서면평가 이후 2차 발표평가 관련 공지드립니다.

일시 : 2019.7.24.(수) / 10시
장소 : JDC 본사 엘리트빌딩 4층 중회의실 1
발표시간 : 10분이내
세부계획 : 1차 서면평가 당선자 개별통보



JDC 형 사회적가치 실현을 위해서 소중한 시간과 귀한 의견을 주신 모든 분들께 진심으로 감사드립니다.

궁금하신 사항은 가치경영실 임성엽주임(064-797-5586) 으로 문의주시면 성심성의껏 답변드리도록 하겠습니다.



 
		"
40,"
				JDC 미래전략 도민참여단 모집(7.17~8.7)
			","


 
		"
41,"
				2019년 JDC 혁신 세미나 개최 알림
			","


□ 일시 : 2019년 7월 18일(목) 15:00 ~ 17:30

□ 장소 : JDC 본사 엘리트빌딩 4층 대회의실

□ 대주제 : ‘혁신성장·포용 기반 JDC 중기 혁신 과제 발굴 방안’
ㅇ 소주제1 : 「多함께 혁신」협업을 통한 포용적 혁신 과제 발굴
                     - JDC&서귀포 혁신도시 공공기관 협업 방안 마련
ㅇ 소주제2 : 「일자리 혁신」사내벤처(내부)와 혁신성장센터(외부)를 통한 일자리 창출

□ 주최/주관 : 제주국제자유도시개발센터(JDC)

문의 : JDC 가치경영실 유동소 과장(064-797-5655)
 
		"
42,"
				신화역사공원 J지구 공원조성사업 건축설계(제안공모) 심사결과 알림
			","


			신화역사공원 J지구 공원조성사업 건축설계(제안공모)의 심사결과를 다음과 같이 알려드립니다.
  - 심사일 : 2019.7.12. (금)
  - 당선자 : (주)범건축종합건축사사무소
		"
43,"
				2019. 제13회 JDC 글로벌인재육성 해외인턴십(미국,중국,독일) 연수생 모집 안내
			","

2019. 제13회 JDC 글로벌인재육성 해외인턴십(미국,중국,독일) 연수생 모집 안내
 
2019 년  제 13 회 JDC 글로벌 인재육성 해외인턴십(미국_ 샌프란시스코, 중국_상해, 독일_프랑크푸르트) 연수생 모집을 붙임과 같이 공고하오니 많은 관심과 신청바랍니다.
 
  1. 연수기간 : 2019. 7월 ~ 2020. 2월
  2. 연수내용 :  미국_자체어학연수(40시간) + 현지 어학·직무 연수(8주) + 기업인턴십(8주)
                         중국_자체어학연수(40시간) + 현지 어학·직무 연수(10주) + 기업인턴십(10주)
                         독일_자체어학연수(40시간) + 현지 어학·직무 연수(4주) + 기업인턴십(16주)
   3. 연수국가 : 미국(샌프란시스코), 중국(상해), 독일(프랑크푸르트)
   4. 선발인원 : 도내  대학생 19명(미국_6명, 중국_8명, 독일_5명)
   5. 접수기간 : ~ 19. 7. 17.(수) 18:00까지
   6. 접수방법 : 참가신청서 및 구비서류 각 대학*에  제출
    * 제주대 현장실습지원센터(진로취업과 내), 한라대 글로벌산학협력센터, 관광대 산학협력단, 국제대 취업지원처
   7. 학생부담금 : 200만원(미국, 독일), 100만원(중국) 
      ※ 최종 선발시 학생부담금 
   8. 문의처 : JDC 국제협력처 064)797-5641     
 
 붙임  제13회 JDC 글로벌 인재육성 해외인텁십(미국, 중국,독일) 연수생 모집 공고 1부.  끝. 
"
44,"
				제주혁신성장센터의 성공적인 운영을 위한 전문가 초청 토론회 개최 알림
			","


			제주혁신성장센터의 성공적인 운영을 위한 전문가 초청 토론회가 다음과 같이 개최됩니다. 많은 관심과 참석 바랍니다.

◇ 일시 : 2019.7.3.(수) 14:00~16:00
◇ 장소 : 제주혁신성장센터 2층 인피니티홀
◇ 주최 : 제주국제자유도시개발센터
◇ 후원 : 국토교통부
◇ 프로그램



인 사
			말 씀
14:00~14:05
․ 환영사 : JDC 운영사업본부장
			※ 사회: 김진호 JDC 첨단사업처 과장


현 황
			보 고
14:05~14:10
․ 제주혁신성장센터 운영현황 보고
			(김현종 JDC 첨단사업처 차장)


주 제
			발 표
14:10~14:40
․ 제주 스타트업 생태계 현황과 전망
			(남성준 제주스타트업협회장)


패 널
			토 론
14:40~15:30
․ 주제 : 제주 취・창업 생태계 조성을 위한 제주혁신성장센터 활성화 방안
			․ 좌장 : 김형길 제주관광문화산업진흥원 원장
			․ 토론자
			- 김경수 KAIST 조천식녹색교통대학원 원장
			- 최준호 한국예술종합학교 교수
			- 남성준 제주스타트업협회장
			- 김근오 국토교통부 산업입지정책과장
			- 김경훈 JDC 첨단사업처장


15:30~16:00
․ 질의응답 및 폐회




붙임 : 토론회 참석자 프로필

 
		"
45,"
				JDC 국민(도민) 참여예산 사업 공모 안내
			","

제주국제자유도시개발센터(JDC)에서는 예산 편성과정에서 국민(도민)의 직접 참여를 통해 예산의 투명성을 증대하고,
국민(도민)이 원하는 사업 추진을 통한 사회적가치 실현에 기여하기 위하여 국민(도민) 참여예산 사업을 공모하오니
많은 관심과 적극적인 참여 바랍니다.

ㅁ 공 모 명 : JDC 국민(도민) 참여예산 사업 공모

ㅁ 공모기간 : 2019.07.02.(화) ~ 08.31.(토)

ㅁ 참여대상 : 대한민국 국민으로 현재 대한민국에 주소를 두고 거주하는 사람

ㅁ 신청분야 : 센터에서 추진하는 6대분야 사회가치(제주)증진 사업(총 6개 분야, 택1)
  - ① 일자리 창출 ② 인재양성 ③ 환경보전 ④ 지역상생 ⑤ 문화진흥 ⑥ 복지나눔

ㅁ 접수방법
  - 이메일 접수 : topkys92@jdcenter.com
  - 우편 접수 : (633-309) 제주시 첨단로 213-4 제주국제자유도시개발센터 기획조정실 (8.31일 소인일자까지 인정됨)

ㅁ 제출서류 [파일첨부(국민(도민)참여예산 사업공모 신청서 양식) 참조(총3개) , 08.31.(토) 17시까지 접수(시간 엄수)]
  - ① 국민(도민)참여예산 사업신청서
  - ② 개인정보수집 및 이용에 관한 동의서
  - ③ 국민(도민) 참여예산 사업 공모 참가 서약서

ㅁ 문 의 처 : 제주국제자유도시개발센터 기획조정실(09시~18시 우리센터 업무시간에 한함)  (064)797-5556, -5643
"
46,"
				JDC 일자리 지원공간(J-CUBE) 위탁운영기관 선정 재공모
			","


			JDC 일자리 지원 공간(J-CUBE) 위탁 운영기관 모집 공고
 
제주국제자유도시개발센터(JDC)는 지역 특성을 반영한 취업·창업 프로그램 운영 및 종합적이고 체계적인 지원서비스 제공으로 JDC 일자리 지원 공간(J-CUBE)을 운영할 기관 모집을 다음과 같이 공고합니다.
2019년 6월 24일
제주국제자유도시개발센터 이사장
 
1. 사업개요
 
ㅇ (사 업 명) JDC 일자리 지원 공간(J-CUBE) 위탁 운영기관 모집 공고

ㅇ (사업내용)
- 취업 지원 프로그램 운영을 통한 취업상담 및 취업매칭, 맞춤형 취업 컨설팅 등 진로지도 상담, 취업 지원 사후관리
- 예비창업자 역량강화를 위한 창업 교육 One-stop 체계 구축
※ 세부내용은 ‘제안요청서’ 참조

ㅇ (사업기간) 2019. 8. 1. ~ 2021. 1. 31. / 18개월
 
ㅇ (사업예산) 금삼억원정(₩300,000,000) / VAT 포함
 
2. 신청자격
 
ㅇ 비영리 민간단체지원법 제4조 및 동법시행령 제3조에 의하여 비영리단체로 등록된 법인·단체 ※ 지역 제한 없음
ㅇ 「국가를 당사자로 하는 계약에 관한 법률」제27조 및 「공기업·준정부기관 계약사무규칙」제15조에 해당하는 경우(부정당업자)는 신청할 수 없음
ㅇ 공고일 기준으로 등록취소, 휴· 폐업, 자격정지 등 관련 규정에 위반된 업체는 참가할 수 없으며, 선정 후라도 상기 사유 발생 시 권리 일체를 박탈함
 
3. 신청서 제출
 
ㅇ 접수기간 : 2019년 6월 24일(월) ~ 7월 5일(금) 18시 마감

ㅇ 접수방법 : 직접방문 ※우편접수 및 기타 방법으로 접수 불가
 
ㅇ 접 수 처 : 제주특별자치도 제주시 첨단로 213-4 제주첨단과학기술단지 엘리트빌딩 4층 가치경영실
 
ㅇ 제출서류 : 제안요청서 참조
 
4. 위탁기관 선정
 
ㅇ 선정방법 : 서류 및 제안서 평가(사업계획 제안 설명 PT발표 및 질의응답)
 
ㅇ 평가일정 및 장소 : 개별 통보

ㅇ 결과발표 : 선정기관 개별 통보
 
ㅇ 추후일정 : 선정기관과 선정 통보일로부터 15일 이내 협상 후 업무협약 체결
 
5. 기타 유의사항
 
ㅇ 공개모집과 관련하여 제출된 서류는 일체 반환하지 않음
 
ㅇ 공개모집에 응모하고자 하는 신청자는 JDC 홈페이지(www.jdcenter.com) 모집공고, 제안요청서 등 관련내용을 완전히 숙지하고 공개모집에 임하여야 하며, 이를 숙지하지 못하여 발생한 사항에 대한 책임은 신청자에게 있음
 
ㅇ 제출된 서류의 내용이 사실과 다를 경우 위탁기관 선정을 무효로 할 수 있으며, 향후 공모참가 제한 등 제약을 받을 수 있음
 
ㅇ 문의안내
- 담당자 : 제주국제자유도시개발센터 가치경영실 유동소 과장
- 전 화 : 064)797-5655 / E-mail : eoauddurh@jdcenter.com
 
		"
47,"
				JDC 글로벌 아카데미 강연 알림(7강, 8강)
			","


			제주가치 증진 사업의 일환으로 제주도민을 대상으로 저명한 인사를 초빙하여 강연을 진행하는
「JDC 글로벌 아카데미」 를 추진하고 있습니다. 많은 참여 바랍니다.

 <7강>
 - 일        시  2019. 7. 11.(목) 14:00
 - 강        사 : 타일러 라쉬(방송인)
 - 강의 주제 : 한국인도 모르는 한국문화

 <8강>
 - 일        시  2019. 8. 29.(목) 14:00
 - 강        사 : 윤홍균(정신과 전문의)
 - 강의 주제 : 자존감 수업

 o 장        소 : 첨단과학기술단지 세미양빌딩 대강당
    * 주소  : 제주 제주시 첨단로 330

 ※ 셔틀버스 탑승 : 제주종합경기장 시계탑 앞, 1시 15분까지 탑승
 ※ 문의 : 741-7841
		"
48,"
				2019 지역사회와 함께 성장하는 JDC 사회적가치 실현 대국민 아이디어 공모전 공고
			","

2019 지역사회와 함께 성장하는 JDC 사회적가치 실현 대국민 아이디어 공모전  공고

 
제주국제자유도시개발센터(JDC)는 공공기관으로서 사회적가치 창출 및 실현에 앞장서고자
국민 여러분의 다양하고 참신한 아이디어 발굴을 위해  아래와 같이 공모전을 개최하오니  많은 관심과 적극적인 참여 바랍니다.

 
□ 공모대상 : 대한민국 누구나

□ 공모기간 : 2019.06.20.(목) ~ 07.10.(수)
□ 공모부문
  ○ JDC형 사회적가치 실현 아이디어(총 6개 분야, 택1)
   - ①일자리  ②동반성장 및 상생협력  ③사회공헌 및 지역경제발전  ④안전 및 환경  ⑤대국민 소통 및 참여 ⑥기타
 
     ※ JDC 추진사업 연계 등 기관의 역할과 특성을 고려하고 사회적 가치를 반영한 지역사회와 함께 성장할 수 있는 아이디어 발굴

□ 시상 내역
  ○ 최우수상(1) : 1,000,000원 / 우수상(2) : 500,000원 / 장려상(2) : 300,000원
     * 심사 결과 우수제안이 없을 경우 시상하지 않을 수 있으며 포상에 대한 제세공과금은 수상자 본인이 부담

□ 신청방법 : 이메일(idea.jdc@gmail.com) 접수
  ○ 홈페이지에서 붙임2 양식을 다운로드하여 작성 후 이메일로 송부
 
□ 문의처 : 064-797-5586
"
49,"
				JDC지정면세점 신규 입점 브랜드(협력업체) 제안 공고
			","


			                                                      JDC지정면세점 신규 입점 브랜드(협력업체) 제안공모
 
 
□ 공모내역



판매대상 물품
HSK
공모대상 단위매장
비 고


미용기기
			(얼굴마사지, 피부미용)
854370
2개 이내
공모 및 입점심의 결과에 따라 입점 업체, 브랜드 숫자 결정


면도기
8510
2개 이내



※ 입점 대상 매장 위치 : 제주국제공항 승강장 5번게이트 앞 메인매장 내 화장품 구역
  - JDC지정면세점 홈페이지(https://jdcdutyfree.com) 고객센터>매장위치 참조
    (단, 입점심의 평가결과에 따른 우선협상자와 면적 및 위치 협의 후 결정)
 
□ 공모방법
 ㅇ 공모기간 : 2019년 6월 12일(수) ~ 6월 21일(금) 10일간
 ㅇ 접수기간 : 2019년 6월 12일(수) ~ 6월 21일(금) 18시까지
 ㅇ 접수방법 : JDC 지정면세점 홈페이지 입점신청시스템 온라인 접수만 가능
    - 입점신청서, 제안서(JDC양식), 사업자등록증, 인감증명서, 현재 법인 등기부등본(말소사항포함), 라이선스 권리증 또는 브랜드 사용계약서(국문 번역서 첨부) 등 첨부
 
□ 사업 자격제한
 ㅇ 제주국제자유도시개발센터 퇴직 후 2년이 경과하지 않은 퇴직 임직원과 그 배우자
 ㅇ 제주국제자유도시개발센터 자회사에 재직 중인 임직원과 그 배우자
 ㅇ 모집공고일 기준으로 퇴출일로부터 1년이 경과하지 않은 업체 및 브랜드, 퇴출 업체 및 브랜드 운영자와 그 배우자, 직계혈족 및 직계혈족의 배우자

□ 공모 브랜드(협력업체) 선정 : JDC 면세점운영위원회에서 평가 선정
 
□ 사업제안서 작성 시 고려사항
 ㅇ 입점 제안 시 월 목표매출액 작성 시 신중을 기하여 주시기 바람
   - 신규 입점 후 익월부터 6개월 간 평균 순매출액이 사업자가 제안한 월 목표매출액 대비 70%이하가 되는 경우 퇴출 심의하여 계약이 해지 될 수 있음
   - 신규 입점 후 익월부터 6개월 간 평균 순매출액이 사업자가 제안한 월 목표매출액 대비 50%이하가 되는 경우 계약이 자동해지 될 수 있음
 
ㅇ 제안서에 제시된 내용은 계약서에 명시하지 않더라도 계약서와 동일한 효력을 가짐.
    다만, 계약서에 명시된 경우에는 계약서 내용이 우선하며 제안서 및 계약서에 대한 해석상 이견이 발생할 경우 제주국제자유도시개발센터 해석을 우선함
 
□ 이행(지급)보증금 납부
  ㅇ 제주국제자유도시개발센터는 JDC 지정면세점 입점 협력업체로 선정된 사업자에게 이행(지급)보증금 납부를 요구 할 수 있음
    - 지급보증금 금액은 사업 제안 시 제출한 월 목표매출액의 50%로 하되, 월 목표매출액 2억 이상 시 2억의 50%로 함
 
  ㅇ 이행(지급)보증금은 입점 협력업체로 선정된 사업자가 계약으로 인해 발생되는 손해배상, 미수금, 상품재고 등 모든 채무에 대한 지급을 위한 보증금을 말함
    - 서울보증보험증권(주) 또는 시중은행(제1금융권)에서 발행하는 지급보증서 중 택하여 납부/제출하되 보험료 부담은 선정사업자가 부담 함
 
  ㅇ 이행(지급)보증증권을 지정기간내 제출하지 아니하거나 제출할 수 없는 경우 선정대상자의 직위는 자동소멸된 것으로 봄

□ 유의사항
  ㅇ 매장 인테리어는 JDC 지정면세점 매장디자인 가이드라인을 준수하여 설치하며 설치 비용은 선정 사업자가 부담함
  ㅇ 제출된 서류는 반환되지 않으며, 제출된 자료 중 일부라도 허위가 있을 경우에는 계약체결 후라도 계약해지와 함께 민·형사상 책임을 져야함
  ㅇ 문의사항은 제주국제자유도시개발센터 면세사업단 면세기획처 운영위원회 담당자(☎064-740-9952)에게 문의 바랍니다.
 
 
                                                                 2019년 6월 12일
 
                                                                                         제주국제자유도시개발센터 이사장
 
    ※ 공고문 공모내역(면적, 위치, 브랜드) 등을 고려하여 공고문 내용을 수정, 변경 할 수 있음
 
 
 
 
 
 
 
 
 
 
		"
50,"
				JDC 고문변호사 공개모집 알림
			","

제주국제자유도시개발센터에서는 다각적인 법률적 검토 기반 마련을 통해 기관의 법률적 위험관리를 강화하기 위해 고문변호사
를 아래와 같이 선임하고자 하오니 많은 관심과 참여 바랍니다.
2019년 6월 10일



□ 선임개요
ㅇ (선임인원) 2명
ㅇ (자격요건) 다음 각 호의 어느 하나에 해당하는 자
    1. 변호사 자격이 있는 사람
    2. 법무법인(법무법인(유한), 법무조합, 법률사무소 포함)
    3. 정부법무공단
ㅇ (위촉기간) 위촉일로부터 2년
ㅇ (모집기간) 2019.06.10.(월)~2019.06.24.(월)
ㅇ 고문변호사 활용범위
   1. 법령·규정의 해석 및 적용에 관한 사항
   2. 소송 및 소송수행에 관한 사항
   3. 법령·규정 등의 제·개정에 관한 사항
   4. 기타 개발센터 소관업무와 관련한 법리적 판단에 관한 사항


□ 신청 및 선정방법
ㅇ (신청방법) 이력서, 직무수행계획서(첨부파일의 서식 참고) 작성 후 담당자 이메일(yjulli@jdcenter.com)로 제출
  - 제출기한: 2019.06.24.(월) 오후 5시
  - 제출서식: 이력서 1부, 직무수행계획서 1부(첨부파일 서식 참고)
  - 담 당 자: 법무팀 대리 김영주(☎064-797-5541)
ㅇ (선정방법) 서류심사 후 7월 초 JDC홈페이지에 공지 예정
"
